Scenario,Variant,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,DecisionLatencyMs,DecisionLatencyMs_ci_low,DecisionLatencyMs_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
cyber_outage,pirag_only,0.5998,0.5965,0.6033,0.7052,0.6859,0.7214,0.0403,0.0384,0.0422,0.6857,0.6827,0.6887,3.5528,3.5230,3.6240,0.6550,0.6483,0.6613,0.2996,0.2868,0.3126,0.0024,0.0011,0.0040,20
cyber_outage,agribrain_cold_start,0.6145,0.6119,0.6176,0.7129,0.6955,0.7226,0.0350,0.0324,0.0368,0.6978,0.6959,0.7002,17.5859,14.6538,20.1522,0.6533,0.6486,0.6573,0.2781,0.2687,0.2886,0.0021,0.0010,0.0037,20
cyber_outage,agribrain_pert_10,0.6061,0.6028,0.6096,0.7129,0.6955,0.7226,0.0368,0.0341,0.0387,0.6904,0.6880,0.6931,12.0793,9.9924,14.7090,0.6533,0.6486,0.6573,0.2839,0.2731,0.2953,0.0021,0.0010,0.0037,20
cyber_outage,agribrain_pert_25,0.6062,0.6029,0.6096,0.7129,0.6955,0.7226,0.0367,0.0341,0.0387,0.6905,0.6880,0.6933,13.2372,11.4052,15.2026,0.6533,0.6486,0.6573,0.2839,0.2728,0.2954,0.0021,0.0010,0.0037,20
cyber_outage,agribrain_pert_50,0.6059,0.6027,0.6092,0.7129,0.6955,0.7226,0.0368,0.0341,0.0387,0.6902,0.6879,0.6928,10.1981,9.1620,11.5996,0.6533,0.6486,0.6573,0.2839,0.2729,0.2955,0.0021,0.0010,0.0037,20
cyber_outage,agribrain_pert_10_static,0.6027,0.5996,0.6063,0.7408,0.7254,0.7549,0.0382,0.0363,0.0400,0.6880,0.6854,0.6910,9.3306,8.1479,11.3388,0.6550,0.6483,0.6613,0.2669,0.2549,0.2781,0.0029,0.0013,0.0053,20
cyber_outage,agribrain_pert_25_static,0.6026,0.5997,0.6059,0.7408,0.7254,0.7549,0.0382,0.0364,0.0399,0.6880,0.6854,0.6908,9.0438,8.1232,10.4193,0.6550,0.6483,0.6613,0.2672,0.2551,0.2783,0.0029,0.0013,0.0053,20
cyber_outage,agribrain_pert_50_static,0.6019,0.5986,0.6056,0.7408,0.7254,0.7549,0.0384,0.0365,0.0402,0.6873,0.6846,0.6905,10.3384,8.2810,13.2282,0.6550,0.6483,0.6613,0.2674,0.2553,0.2788,0.0029,0.0013,0.0053,20
cyber_outage,agribrain_no_bonus,0.6038,0.6008,0.6074,0.7408,0.7254,0.7549,0.0379,0.0361,0.0397,0.6890,0.6864,0.6919,10.8176,9.3135,12.7504,0.6550,0.6483,0.6613,0.2658,0.2543,0.2772,0.0026,0.0013,0.0050,20
cyber_outage,agribrain_theta_pert_10,0.6062,0.6032,0.6098,0.7408,0.7254,0.7549,0.0374,0.0356,0.0392,0.6911,0.6888,0.6941,11.3730,10.0789,12.6095,0.6550,0.6483,0.6613,0.2635,0.2514,0.2748,0.0026,0.0011,0.0050,20
cyber_outage,agribrain_theta_pert_25,0.6053,0.6019,0.6092,0.7408,0.7254,0.7549,0.0376,0.0357,0.0394,0.6903,0.6876,0.6936,9.6255,7.8554,12.1436,0.6550,0.6483,0.6613,0.2650,0.2527,0.2765,0.0027,0.0013,0.0042,20
cyber_outage,agribrain_theta_pert_50,0.6069,0.6028,0.6110,0.7408,0.7254,0.7549,0.0373,0.0353,0.0392,0.6918,0.6885,0.6950,10.3841,8.9923,12.6451,0.6550,0.6483,0.6613,0.2629,0.2506,0.2746,0.0024,0.0011,0.0047,20
adaptive_pricing,static,0.4968,0.4942,0.4996,0.0000,0.0000,0.0000,0.0869,0.0822,0.0912,0.5808,0.5800,0.5815,0.0805,0.0791,0.0826,0.2345,0.2247,0.2469,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
